package,purple,yellow,pink,red,orange
1,1,1,3,6,2
2,0,3,2,6,1
3,2,1,3,3,4
4,2,0,7,2,4
5,2,2,5,2,2
6,1,0,3,6,2
7,3,1,4,2,3
8,2,1,6,3,1
9,0,3,5,5,0
10,6,2,0,3,2
11,4,0,3,5,1
12,3,1,5,2,1
13,0,2,3,6,2
14,2,1,6,2,2
15,0,1,3,5,4
16,1,2,2,6,2
17,2,1,2,4,3
18,2,1,5,4,1
19,0,1,4,5,3
20,1,1,4,6,2
21,0,4,5,1,3
22,2,0,6,4,1
23,0,1,6,4,2
24,0,2,4,3,4
25,3,2,3,4,1
26,0,3,5,3,2
27,0,0,4,7,2
28,0,1,7,3,1
29,0,3,4,5,0
30,0,2,7,3,0
31,0,2,8,5,0
32,0,0,6,3,4
33,2,1,7,2,0
34,0,3,2,7,1
35,0,1,8,2,2
36,0,4,4,4,1
37,1,2,1,6,3
38,1,3,3,3,3
39,3,1,5,2,1
40,3,0,4,4,2
41,2,1,5,3,2
42,2,2,4,4,0
43,0,0,5,3,4
44,1,3,5,1,3
45,1,1,5,3,2
46,0,3,7,1,1
47,2,0,3,8,0
48,0,3,5,3,1
49,1,1,4,6,2
50,1,2,3,3,3
51,1,1,3,5,3
52,1,2,5,3,2
53,1,0,5,6,2
54,2,1,5,5,0
55,0,1,4,7,1
56,0,7,4,2,0
57,0,1,3,6,2
58,0,2,1,8,2
59,0,2,3,6,0
60,4,2,1,6,0
61,1,2,6,4,0
62,0,1,3,5,3
63,0,3,2,7,2
64,0,4,2,5,2
65,0,3,3,3,4
66,0,0,3,8,1
67,0,1,7,5,0
68,0,1,4,5,3
69,0,1,7,3,1
70,1,1,6,5,0
71,0,5,4,5,1
72,0,3,2,4,3
73,0,3,5,6,1
74,1,2,3,5,2
75,6,2,1,2,2
76,1,1,8,3,0
77,0,1,7,3,2
78,1,1,3,5,3
79,1,1,5,6,0
80,0,2,6,4,0
81,0,1,6,3,2
82,2,1,3,7,0
83,0,1,5,5,1
