snack #,red,pink,yellow,purple,orange,total,person
1,3,2,4,3,1,13,dad
2,4,6,1,1,1,13,caleb
3,2,5,2,0,3,12,mom
4,4,2,2,2,3,13,alaina
5,5,3,2,0,1,11,dad
6,3,2,4,4,1,14,alaina
7,4,6,0,2,0,12,caleb
8,2,6,2,2,1,13,dad
9,5,6,1,2,1,15,alaina
10,4,2,3,3,0,12,caleb
11,2,6,1,3,1,13,alaina
12,7,0,2,0,4,13,caleb
13,3,3,2,1,4,13,alaina
14,1,1,2,5,2,11,dad
15,7,0,1,2,2,12,caleb
16,2,3,3,0,2,10,alaina
17,3,3,1,3,3,13,caleb
18,2,3,1,6,1,13,dad
19,3,2,4,2,0,11,dad
20,1,5,3,3,0,12,alaina
21,8,0,4,1,0,13,caleb
22,3,6,2,1,2,14,alaina
23,3,4,2,0,3,12,caleb
24,3,4,3,2,2,14,alaina
25,6,3,1,2,1,13,dad
26,7,4,1,1,2,15,caleb
27,5,5,1,0,2,13,dad
28,5,1,3,2,2,13,alaina
29,2,3,3,1,5,14,caleb
30,3,3,2,2,1,11,dad
31,5,4,2,1,1,13,alaina
32,5,1,2,1,4,13,alaina
33,6,4,1,0,2,13,dad
34,2,5,1,1,2,11,caleb
35,2,4,1,2,2,11,caleb
36,5,3,2,0,2,12,alaina
37,3,4,1,3,3,13,dad
38,2,4,1,3,3,13,alaina
39,5,5,3,0,1,14,dad
40,5,4,3,1,0,13,alaina
41,4,3,4,2,1,14,caleb
42,3,4,3,0,3,13,caleb
43,5,4,0,3,1,13,dad
44,5,2,1,1,5,14,alaina
45,5,1,1,3,2,12,alaina
46,7,1,1,0,2,11,dad
47,2,5,1,1,4,13,caleb
48,6,3,2,0,2,13,caleb
49,3,4,4,1,1,13,alaina
50,4,3,2,1,2,13,dad
51,4,4,0,3,1,12,caleb
52,3,2,4,2,1,12,dad
53,8,1,1,0,3,13,alaina
54,4,4,1,4,1,14,dad
55,2,3,2,2,4,13,alaina
56,5,5,2,1,0,13,caleb
57,1,2,0,3,6,12,caleb
58,5,5,0,2,1,13,alaina
59,2,6,3,1,1,13,dad
60,3,5,3,1,1,13,alaina
61,0,3,3,2,3,11,alaina
62,4,3,3,2,2,14,dad
63,4,4,3,0,2,13,dad
64,2,4,4,3,0,13,caleb
65,2,3,5,2,1,13,caleb
66,2,7,2,1,1,13,alaina
67,2,2,4,3,2,13,dad
68,2,0,1,6,2,11,caleb
69,5,3,3,0,2,13,alaina
70,6,3,1,1,2,13,dad
71,3,4,1,0,3,11,caleb
72,5,4,1,0,3,13,alaina
73,5,2,2,4,0,13,dad
74,9,0,1,1,2,13,alaina
75,3,3,4,1,3,14,alaina
76,5,4,2,1,2,14,dad
77,4,4,0,1,2,11,dad
78,3,3,3,2,2,13,dad
79,5,1,2,2,2,12,caleb
80,3,3,5,1,1,14,caleb
