package,purple,yellow,pink,red,orange
1,4,2,4,2,0
2,5,0,3,3,2
3,2,2,5,1,1
4,5,0,3,4,1
5,0,1,3,6,2
6,2,0,5,5,1
7,1,0,3,9,1
8,2,1,5,4,1
9,4,2,1,5,1
10,1,2,6,2,1
11,0,2,4,7,0
12,1,5,3,3,0
13,1,3,2,7,0
14,3,1,4,4,1
15,1,3,7,2,0
16,0,4,4,5,2
17,3,4,4,1,0
18,3,1,2,5,2
19,0,3,5,1,3
20,1,2,5,2,2
21,1,3,4,4,0
22,4,2,3,3,1
23,2,1,2,6,2
24,1,1,6,5,0
25,3,2,3,3,2
26,1,2,2,3,3
27,1,1,4,6,0
28,1,1,5,4,1
29,3,1,5,2,2
30,0,2,4,4,4
31,2,1,5,5,1
32,3,4,3,2,1
33,1,2,7,2,0
34,1,1,7,1,2
35,5,2,3,1,1
36,2,1,6,3,1
37,2,1,2,6,1
38,4,2,2,4,0
39,0,2,5,6,1
40,0,2,3,4,5
41,2,3,6,1,0
42,1,1,6,2,4
43,4,3,1,3,1
44,3,2,3,4,1
45,1,3,2,6,2
46,1,2,4,2,2
47,1,2,4,5,0
48,5,3,1,2,1
49,3,1,3,5,1
50,2,2,4,3,1
51,2,1,6,4,0
52,3,2,3,1,3
53,3,3,2,3,2
54,2,3,3,1,2
55,3,0,2,8,1
56,0,1,4,3,4
57,1,2,4,3,2
58,1,1,6,3,2
59,2,2,2,5,2
60,2,4,3,3,3
61,1,2,2,6,2
62,0,1,9,3,1
63,3,1,4,2,2
64,2,2,1,5,2
65,2,4,5,2,0
66,6,1,1,5,0
67,4,2,3,3,0
68,3,1,4,3,1
69,0,1,5,3,3
70,1,2,3,5,2
71,1,0,7,1,4
72,1,3,2,2,3
73,1,0,6,5,2
74,4,2,4,2,1
75,3,1,6,3,1
76,4,1,4,3,1
77,3,4,0,3,3
78,0,3,4,3,4
79,2,3,2,3,2
80,5,2,2,2,1
81,1,2,3,6,1
